Symbol	logFC	P.Value
GYG1	-0.323559732	0.056072339
MLL3	0.413255116	0.056079343
GATA5	-0.722525804	0.056113205
AKR1C2	-1.394678398	0.056105501
CCDC11	-1.022764643	0.056207204
MUC4	-0.669132282	0.05620338
LOC401152	0.773127504	0.056264784
TCEAL4	-0.89983921	0.056296891
GPR173	-1.443501928	0.05636594
ANXA13	-2.110574462	0.056384768
FANK1	0.652395856	0.056425558
RAB3GAP1	0.254377168	0.056434112
ZNF586	0.30841693	0.056510468
TRIM37	-0.879224398	0.056517589
C19orf48	0.610956952	0.056566446
BRD9	-1.444325447	0.056581127
C16orf38	-0.856216079	0.056638149
LEMD3	0.492931234	0.056646908
SNORD51	0.792359689	0.056697521
RHOXF2	-1.92971195	0.056716617
MAGEA4	-1.512106876	0.056770091
PHLDA2	0.81504905	0.056791493
ADH4	0.297240384	0.056856553
TTN	0.865237739	0.056878476
KRTAP19-4	-1.392649174	0.056934938
NPSR1	-1.357164758	0.057048492
CFL1	0.25569562	0.057143333
ICAM4	-0.59701969	0.057152233
CYP26A1	-1.432472667	0.057370682
SLC41A3	0.23801661	0.057368849
C20orf27	-0.497070286	0.057453905
SCMH1	-1.008200313	0.057481933
PXK	0.740831837	0.057566456
C3orf30	-1.782358784	0.05757532
DLL3	-2.174027773	0.057677265
GOT1	0.50760198	0.057699478
ZEB2	0.725361278	0.057798698
GPR124	1.1906251	0.05781896
SNORD115-48	0.540520396	0.057911563
PLIN	0.593990237	0.057920703
TEX101	-1.907759333	0.057953323
COG5	-1.371864477	0.057969325
PHKA1	0.978723343	0.058069198
LXN	0.43628826	0.058079866
DCN	-1.904999446	0.058136602
FLJ45831	0.449670589	0.058152017
GOLGA2	-0.38174957	0.058251857
CTNNA1	0.56987994	0.058253162
FSIP1	-1.225012964	0.058319042
ACTR3B	-1.192435289	0.058315522
MED8	0.790269682	0.058370829
ENPP6	-2.241751081	0.058385501
NSFL1C	0.486951576	0.058448388
DMD	-1.192620688	0.058444315
URB1	0.530725652	0.058533741
AAA1	-1.070177555	0.058540141
LSM7	0.215121518	0.058687708
MCOLN1	-0.54439088	0.058688396
FERMT2	1.056954558	0.058734974
DIXDC1	-1.311734323	0.05874848
RBMS1	0.269416588	0.058865301
MMP17	-0.69859813	0.058911849
TCF2	-1.621165239	0.05900242
DRAP1	-0.310193214	0.059004558
EFNA4	0.699410108	0.059062368
MGLL	-0.538054924	0.059109597
MRPL30	0.628213611	0.059215834
ZNF407	-1.528366551	0.059218738
EXD1	0.685933327	0.059322379
NEU2	0.858822875	0.059330874
CCDC73	-1.379925423	0.05943282
PNRC1	-0.596982364	0.05942965
C12orf73	0.888642609	0.059561532
KCNV1	0.539704574	0.059580768
SLC29A3	0.510662669	0.059646884
FKSG44	-0.366130468	0.059676179
PFKFB1	-1.375895722	0.059852567
RBMY2EP	-1.152362517	0.059957646
SALL2	0.596836798	0.06002431
SCN3B	-1.397236498	0.060058823
ULK1	-0.775934348	0.060098196
TCIRG1	0.845793134	0.060116554
HYDIN	-1.728127962	0.060185553
NMNAT2	-1.553707527	0.060205311
SLC5A6	-0.289343822	0.060276573
ATP6V0E2	0.475662514	0.060309679
CATSPER4	-0.950588979	0.060377155
OR6V1	-1.015229117	0.060402809
C14orf64	-1.757764023	0.060488116
ATP8B1	-1.100410088	0.060509459
IL21	0.613398799	0.060543517
LYG1	-1.526763804	0.060539459
NME2	-0.927541025	0.060628962
PIP4K2B	0.740008004	0.060663439
USP2	-0.680715093	0.060710255
C10orf47	0.654256548	0.060732125
CDC42BPB	0.892532771	0.060872652
ANKRD47	-1.27340875	0.060874347
EPAS1	-1.58107206	0.060889054
LOC401589	0.728830451	0.060928501
C8orf58	0.443644638	0.061117868
NYNRIN	0.58471573	0.061154036
GABRB3	-1.899353361	0.06131123
ATP1A4	-1.631865494	0.061360884
ZNF22	0.33092991	0.061378781
PARVB	-1.581253692	0.06139001
RTN4IP1	0.796428814	0.061424305
TTC39B	0.364056961	0.061437552
HUNK	-1.500874891	0.061569619
CPSF4L	-1.021507475	0.061573005
TMEM194	-0.585618166	0.061764135
IFNE	-1.187877262	0.06175617
DCHS2	-1.616039926	0.061827421
PRPF40B	1.254974971	0.061844604
LOC401463	0.414164366	0.062040584
NRSN2	-0.78849006	0.06208325
CLEC4GP1	-2.096598147	0.062188101
SUGT1L1	0.548699243	0.06219404
ABCC9	0.563741538	0.062240279
GTF2IRD1	-0.606867702	0.062299815
SEPN1	-0.394712392	0.062415044
SIGMAR1	0.711975172	0.062432021
PARP8	0.528104334	0.062460023
IL18R1	1.012842424	0.062480649
NRF1	-0.687995146	0.062658616
B3GNT6	-0.618588961	0.06267132
HOXC12	0.773780749	0.062765674
CYorf14	-1.588944342	0.062809562
FLJ10916	0.703847848	0.062907028
BCAS1	-1.416920643	0.062980253
HCG27	-1.340796933	0.063035778
TIRAP	0.673697497	0.063083771
BEND6	-1.50019303	0.063172323
THAP7	-0.813798601	0.063186433
LAMA3	-1.31932672	0.063270949
IL1RL1	-1.158007301	0.063279542
BRDT	0.473685209	0.063362586
HTR4	-0.959813802	0.063396169
TENC1	-1.434637362	0.063443069
RASGRP4	0.880138292	0.063464589
TMEM14C	0.491050378	0.063591794
WFDC10B	-1.781393912	0.063592214
C9orf71	-1.768743018	0.063607899
C11orf85	-1.378441742	0.063661135
TPI1	-0.312383996	0.063828739
SOCS7	0.808220748	0.063877094
LOC400464	-0.463038016	0.063967626
KCNB1	-1.299022163	0.064003307
TH1L	0.382351802	0.064120528
NTRK2	-1.870236643	0.06411955
NAGLU	-0.267037292	0.064189325
CTCFL	-1.974476722	0.064188822
PAOX	0.775579164	0.064235946
ACAN	-2.199094621	0.064283626
DEPDC7	-1.355913159	0.064346897
DSC3	-0.596772526	0.064357159
TMEM222	-0.556939668	0.064452203
MMGT1	0.716359249	0.064453026
OR52N4	-1.794377838	0.064497465
FAM160A2	-0.633849462	0.064521219
RNASE1	-1.551875744	0.064594889
C1orf100	-1.208541197	0.064603375
LYRM1	0.358745806	0.064687284
PRDM11	-1.709409247	0.064712496
VCY1B	0.249594538	0.064880829
JMJD1C	0.300974516	0.064868468
UBE2E2	0.34053508	0.064899309
KLHL25	-0.998805344	0.064913852
UBXN11	-1.508458577	0.064975154
PRKCDBP	-1.763770643	0.064983448
ABLIM3	0.558976051	0.06507515
C10orf95	0.905476712	0.065129546
H1FNT	-1.724957263	0.065228727
DRGX	-0.788516506	0.065234841
LOC155060	-0.42123981	0.065293542
FAM126A	0.454049927	0.065345749
CLU	-1.509775169	0.065458008
MNS1	-0.863231511	0.065472324
LONRF1	0.378507214	0.065510648
SLC27A6	-0.78102979	0.065603207
COX6B2	1.188009746	0.065723344
ZNF826	-0.451782242	0.065731114
HK2	0.363714562	0.0658692
CD96	-1.876765809	0.065881317
RBM18	0.52231955	0.065988392
ARNTL2	-0.725210099	0.066019063
COPB2	-0.212825424	0.0660937
MOS	0.573851517	0.066135572
ATP8A2	-1.220194349	0.066194034
HSP90AB2P	0.343370051	0.066190749
DMWD	0.487539962	0.066237171
STAC2	-0.462246832	0.066254735
OR8J1	0.816943832	0.06632123
UBE2D3	0.791090319	0.066339442
FRAT1	-1.254621744	0.066428751
TTC16	-0.900205237	0.066473632
KIAA1618	1.000605985	0.066499632
CD3D	-1.189227929	0.066498119
THRA	-0.782335586	0.066588879
UIMC1	-0.200205278	0.066589182
ABHD11	-1.080759644	0.066612172
FCER1A	-0.866184909	0.066636316
TRIM43	0.39834797	0.066810296
CCT5	-1.29383257	0.066825962
ZNF483	1.016712782	0.066977153
SNX20	-1.665300719	0.066991039
FBXO46	0.444671566	0.067043702
RAB11FIP1	0.29380849	0.067050187
PHB	0.428802572	0.067127009
GPR50	-1.374945997	0.067166287
SNORD111B	0.731502645	0.067226734
ITGA2	0.607644844	0.067242173
PVR	0.386332995	0.067292714
SLC7A2	-1.167596622	0.067306528
PYCR1	0.543062067	0.067388779
PLEKHG2	0.577172404	0.067429162
ATAD1	0.763004637	0.067565611
DNASE1L1	0.558505018	0.067611668
NTN3	-0.761268113	0.067735062
UNC45B	-1.666549258	0.067757965
ERCC4	-1.680261468	0.067950014
UBQLN1	0.41717571	0.067949513
PPP2CB	1.360345077	0.068052799
DDX20	1.124335388	0.068079883
ZNF649	-1.327202595	0.068221029
PPP1R3A	0.406916252	0.068233365
TMEM192	-0.5699828	0.068288454
CACNB4	0.819122736	0.068465752
USP1	0.493590944	0.068560836
CEP192	0.36042252	0.068568488
E2F4	0.35508067	0.068692598
HIST1H2AH	0.747509992	0.068692421
PQLC1	0.232484564	0.068850777
GRIA4	-1.15042795	0.068857544
C10orf4	0.895540776	0.068995532
SRCAP	0.651703069	0.069028955
PPIL4	1.185535201	0.069121591
AGTRAP	-0.838358053	0.069137447
LRRC48	-1.64193149	0.069198622
FN3K	-0.720623549	0.069212571
IL17D	0.701980104	0.069295729
CABP7	-1.382148533	0.069330277
APOBEC3F	0.576886781	0.069485166
CEACAM19	0.647961761	0.069502266
IFT122	0.511845375	0.069587236
FBXL3	0.362907213	0.06958638
GRPEL2	0.52161166	0.069677799
ZNF658	0.826160644	0.06969509
UEVLD	0.390114233	0.069746387
GPRASP2	0.866973044	0.069772293
CSNK1E	0.276138104	0.069828234
CFB	0.752584379	0.069865131
ATXN1L	-0.28414035	0.069900053
IER3IP1	0.742665839	0.069912569
CDC2L2	-0.264186324	0.070032293
DGKE	0.863382988	0.070053708
ZNF501	-0.911151095	0.070161409
OCRL	0.471643532	0.070165452
HABP2	-0.757760527	0.070287182
NTF4	-0.995484664	0.07032625
DAND5	-0.80422509	0.070386316
TCTN2	-0.682065858	0.070410476
LAMB2	0.585376192	0.070532373
TNXA	0.887828463	0.070527879
ST8SIA4	1.155614452	0.070598333
MERTK	0.668022383	0.070607307
MFAP2	0.457538439	0.07066838
AUP1	0.248724276	0.0706981
LMBRD2	0.469465011	0.07071074
MYST3	0.281870988	0.070716928
HOMER1	0.802452895	0.070756087
AK3L1	-0.603079175	0.070794379
ZNF384	-0.669190807	0.070931217
OR56A4	-1.787207018	0.070942511
GADD45A	0.526428608	0.070962816
C22orf40	0.566038321	0.070965616
CEBPZ	0.272862382	0.07102323
HSPBP1	-0.475565342	0.071043037
KLK2	-1.512104433	0.071071362
TRAPPC5	-0.283130722	0.071086693
RNF13	0.422183752	0.071148435
CABLES2	-0.57199369	0.071165089
CYP26A1	-1.031128577	0.071271575
TSTD1	0.480967182	0.071275923
USP12	0.444991645	0.071414878
CCNB1IP1	-0.260683114	0.071447584
TNFRSF11B	-1.50520558	0.071543442
GFOD2	0.647308523	0.071605717
STK25	0.38516312	0.071691966
SORBS3	-0.911535732	0.071749178
SNORD104	0.200639454	0.071855371
XPNPEP2	-0.721910579	0.071885687
RNF190	-2.044478622	0.071899917
INSRR	0.593045588	0.071917862
C3orf65	0.475849848	0.072072627
ETV4	-1.029530372	0.072092436
SP100	-0.395693606	0.072104484
ABO	0.870248014	0.07218314
SNORD114-11	1.000698005	0.072237762
OR10A3	-1.699895391	0.072301343
CDCA8	-0.670869297	0.072400711
STX19	-1.469368733	0.072404611
FLJ33630	0.554868117	0.072450149
B3GNT8	0.463363784	0.072457634
WWC1	0.525124065	0.072563649
TEAD3	0.555264568	0.072579666
AASDH	-0.58883579	0.072654385
ZFP3	-1.034088042	0.072709144
GNRH2	-1.157782019	0.072838275
CBLB	0.355916038	0.072874526
CNTFR	0.342024695	0.073015692
DEFA4	-0.874201647	0.073046611
PSKH2	-1.424797403	0.073116198
RTP1	-0.563065603	0.073118883
GLT1D1	0.593018205	0.073236902
WFDC6	-1.148322366	0.073275642
CEP55	-1.232305216	0.073299603
FGF1	-1.020789594	0.073300434
PDHB	0.57977018	0.073461639
RUVBL1	-0.685366457	0.07351215
RBBP9	0.904247986	0.073549194
MTAP	-1.443854826	0.073590777
TMPRSS4	-1.112360054	0.073638728
ASS1	-0.691417686	0.073667852
RFC3	-1.68326571	0.073817221
EDG4	-0.263385354	0.073813645
ROCK1	0.23535562	0.073962067
ANKRD34A	-0.570249244	0.073976426
C20orf45	-0.20448753	0.074184567
PLN	0.388778749	0.07417453
C19orf52	0.460960207	0.074238167
RASSF7	0.387800982	0.074246509
IQCJ	-0.389541764	0.074341904
TPM4	-0.565149629	0.074362122
C14orf100	0.759380208	0.074499776
CSPP1	0.628006935	0.074536508
C15orf54	0.647931184	0.074676614
CXorf57	-1.86275598	0.074691728
LYL1	-0.363675822	0.074793931
CYP4B1	-0.733075497	0.074816452
SERINC2	1.47113172	0.074930881
GLRA3	0.467689586	0.074937442
RAB23	0.62733523	0.075086832
MPST	-0.828197926	0.075111871
TAF11	0.205997844	0.075196956
CEACAM1	1.195665592	0.075225636
RNF146	-0.358089382	0.07534393
PDCD2	-0.219999738	0.075340154
ERGIC1	0.350822438	0.075475652
UGT1A10	0.462259514	0.07546309
FLJ12684	-2.22990276	0.075455252
NIPSNAP3A	0.300595901	0.075474558
ZNF711	0.333685294	0.07551104
SLC10A3	-0.422269488	0.075544292
FOLR1	-1.945856362	0.075631967
DTX3L	0.461895824	0.075676803
OXSM	0.706918853	0.075782712
MAPK13	-1.120965136	0.075777455
IL4	-1.583675241	0.075875972
DEFB115	-0.965784279	0.075877595
RAPSN	-0.682719266	0.076034351
UBB	0.168635222	0.076033858
OMD	0.654472722	0.076136047
PSMA5	-0.315257424	0.076156906
APLN	-1.663074465	0.076267883
C21orf67	-0.720185911	0.076292546
SGCD	-1.340437806	0.076393514
SIGLEC9	-1.486944537	0.076410736
EIF3M	0.2118161	0.076492851
CLTB	-2.048409226	0.076522816
SIRPB1	-1.360652588	0.076730635
IRF2	-0.763540986	0.07672099
FAM134A	0.714932449	0.076729937
SLC39A3	0.602833979	0.076755335
ZNF319	0.587339276	0.0767911
CRK	-0.5344709	0.076864899
PECAM1	0.293695696	0.076988029
B4GALNT1	0.695456193	0.077023084
DLEU1	0.550201168	0.077092315
CCDC66	0.781318905	0.077133727
LOC653604	0.57620073	0.077207054
MATN4	-1.51795841	0.077252006
LOC100101116	-1.72069391	0.077321317
DPH3	0.598741018	0.077346859
FBXW7	-0.784888791	0.07740905
GSTZ1	1.142169733	0.077468592
AGAP11	0.67657169	0.077599833
SCCPDH	-0.515428698	0.077606992
DLX6AS	-1.918793342	0.077637256
LENG8	0.206367438	0.077669677
OR52B6	-1.23774902	0.077697858
PNMT	-1.154445082	0.077710919
F8	0.397477107	0.077877045
ADAM8	0.397498792	0.077933665
USMG5	-1.01744105	0.077978322
MORC1	0.689743643	0.077986387
FLJ21986	1.191380948	0.078217749
C11orf44	-1.908831758	0.078218594
LY6G5B	-0.743461044	0.078280402
PDE11A	-1.49640735	0.078327311
C21orf66	-0.40021095	0.078464543
PSD3	0.751385024	0.078461303
NHLRC4	1.016070377	0.07857862
GHSR	-1.451364796	0.07858956
PSG9	-1.061157464	0.078643185
GALNT8	-0.510949153	0.078664465
FYCO1	0.574584935	0.078750434
CPA5	0.743171401	0.078815153
ATP5J2	0.293526864	0.07890385
CNNM1	-1.35352346	0.078938299
C4orf40	-1.046749	0.079013444
RFX4	-1.237957451	0.079069056
C5orf46	-1.298295617	0.079156202
CDKN2B	-1.190123717	0.079156075
DBR1	0.631391321	0.07919269
TMSB4Y	1.111653561	0.079221696
OR2A4	0.837609327	0.079349448
ERCC1	-0.287303544	0.079367123
IL13RA2	0.295548954	0.079453503
DAP	-0.200027112	0.079500794
EFCAB6	-1.490043164	0.079572491
KIAA1704	0.549438232	0.079572263
NFRKB	-0.557122846	0.079706125
C14orf149	1.058964113	0.079703227
FBP1	-1.642798944	0.079748792
FREQ	-1.476987566	0.079753034
RFNG	-0.779347673	0.079870976
ALDH6A1	0.264192178	0.079882192
ZNF699	0.915616536	0.080029291
BACH2	-0.605860904	0.080066158
PLEKHN1	-0.928155732	0.080142812
NF2	-1.4742625	0.080149525
BTBD7	0.466592053	0.080214476
HSD17B3	-1.536346794	0.080214011
C1orf59	-0.260866942	0.08026406
MPL	0.575891534	0.080279882
PMM1	-0.274620158	0.080337748
C8orf47	-1.138236757	0.08035134
RAG1AP1	0.211434754	0.080399029
OSTC	0.293896236	0.080402802
LOC388955	0.504948159	0.080492479
NEK1	0.837035016	0.080502925
INGX	0.632448024	0.080576016
HCN4	-1.697391766	0.08059109
NRG1	0.270360768	0.080670523
LGALS9	0.273156792	0.080747401
KIAA0913	0.362599504	0.080833843
GCK	-1.513313678	0.080830735
RFFL	-0.334952138	0.080876559
GRB7	-1.855589622	0.080871618
FLJ46347	-1.518421581	0.080925955
LRRTM1	-1.258075593	0.080923122
BCL2L15	0.575590571	0.081045049
CDKL2	-1.690196986	0.081045395
CXCL9	-1.04899014	0.08106144
FADS3	-0.51418665	0.081074055
DIRAS1	-0.993926672	0.081152654
FAM90A1	-0.883931762	0.081175422
MID1	0.878273064	0.081259945
MRPL23	-0.715110596	0.081257146
CD9	-0.773466879	0.081348548
WDFY3	0.726771418	0.081347174
PPM1A	0.769443191	0.081594246
HBG2	-1.390032186	0.081649943
TCP10	-1.534779444	0.081755771
OXER1	0.663246745	0.081766352
BTAF1	0.230625846	0.081855095
EPB41L5	0.842172394	0.081852499
RASSF1	0.302415652	0.081926013
MRC1	-0.356937221	0.081935562
ZNF701	0.685475761	0.082061581
ZNF584	-1.016147476	0.082078298
LOC402057	-0.715820282	0.082215233
LIFR	0.97709001	0.082230134
SHROOM1	0.770378806	0.08228443
CRMP1	0.447932549	0.082290992
WDR35	0.735725734	0.082399153
FAM120C	0.728013915	0.082448784
PYCARD	-0.571743032	0.082564769
GLB1L3	0.792113456	0.082579399
C3orf24	-2.066462828	0.082700551
PTENP1	0.455753786	0.0826993
GNB1	0.280242138	0.082891296
GNAL	-0.359266582	0.082920547
ZAR1	0.362016686	0.083034517
SMAD7	0.673883526	0.083040455
CD200R1	-1.370017483	0.083225732
RHOC	0.356334392	0.083252761
CDCA1	-0.781512566	0.083321671
DDX52	-1.213898511	0.083334047
KRBA2	-0.777005948	0.083424986
SPATA19	-0.860571227	0.083430756
TMEM74	-1.270071961	0.083488713
NXPH4	-0.728527108	0.083534525
SNORA74B	0.38890624	0.083627816
GRIN1	-1.755477651	0.083667107
ARHGAP1	0.258974708	0.083773844
PCDHGB1	-1.191676305	0.083787543
PON2	0.397787656	0.083853715
SUPV3L1	-0.29680469	0.0838713
LOC493869	1.285508246	0.084017938
STXBP1	-1.522770446	0.084068268
NOLC1	-0.375198336	0.084128744
GREM1	-1.054721903	0.084139037
ITGA5	0.388454992	0.084263745
LINGO4	-1.310350006	0.08425278
SNTN	0.283594494	0.084320985
SUMO2	-0.21296971	0.084317701
TROAP	-0.823438085	0.084575894
PLA2G2A	-1.892726681	0.084604396
WWP2	-1.156491371	0.084652642
CREB3	0.537932031	0.084687732
DEAF1	-1.517247662	0.084860977
C6orf85	-1.432193094	0.084877363
COL2A1	-1.291376723	0.085027242
FCGR2A	0.391168081	0.085044223
SLC45A2	-1.330191095	0.085257811
MAP6D1	-1.215970627	0.08528278
CCDC71	-1.129729504	0.085421891
C1R	0.46046334	0.085429458
C5orf38	0.209277696	0.085594759
ADAD1	0.448976102	0.085589318
PCOLCE	0.466338766	0.08571131
ESRRB	-0.877641096	0.085720555
MYO1C	0.810025122	0.085779489
HIST1H3I	0.585940513	0.085800883
CDCP1	0.568642866	0.085852461
CDH7	-1.628091892	0.085860771
CCNG1	0.446190536	0.085953091
CLRN2	-1.753973556	0.085960757
RFC5	-0.61036415	0.086028218
TUBGCP6	-0.218939916	0.086046768
SPINLW1	0.678349609	0.086071956
ZDHHC13	0.300881354	0.086073603
MYO18B	-2.085260308	0.086157521
LOXL2	-1.587218188	0.086170377
TNFSF4	0.46111192	0.08623787
UPP2	-0.723931724	0.086282851
RXFP4	-0.704981268	0.086268657
NPTXR	-1.384779645	0.086351882
RNF121	0.577659296	0.086511003
ARMCX5	0.700100623	0.086561632
ZNF684	0.717061263	0.086604564
CAPSL	0.639647879	0.08663481
ZNF605	-0.790631586	0.086749474
TLR3	0.868003914	0.086770704
MYH7B	0.625080052	0.086873731
JMJD6	-1.36197334	0.086913562
TCF19	0.66869948	0.08707131
CSTF3	0.610651588	0.087089097
IL3RA	0.35240169	0.087187436
PRKY	1.214462808	0.087225669
ERCC8	1.088724873	0.087448019
MYADM	0.302650882	0.087466771
TMEM79	0.564027566	0.087558551
S100PBP	0.509857149	0.087612007
HIST1H2AJ	0.61541014	0.087749666
GPR82	-1.908859915	0.087781423
ZBTB43	0.224245282	0.087850183
FDXR	-0.744881499	0.087874924
RBM4	0.279736768	0.087979826
NAT11	-0.400030388	0.08803665
MLN	-0.655390675	0.088276571
UBE2J1	0.339242574	0.088294538
TOMM40L	-0.372390784	0.088398822
FBXO10	0.923872192	0.08840736
PAMR1	-2.452688941	0.088637526
GJC3	-0.488246293	0.088659782
VAMP1	-0.38099324	0.088876533
CFP	0.378946762	0.08890581
CYB5RL	-0.558951896	0.088975469
OR8B2	0.480568224	0.089008284
MAPK10	-1.257965197	0.08915543
ANKMY2	0.454987342	0.089199076
ANUBL1	0.9697027	0.08929535
MFSD6L	-0.8304633	0.089310509
PDPK1	-1.198711254	0.08951532
ANKRD41	0.497473857	0.089538225
TFDP3	-1.113207817	0.08964989
SAMD3	-1.254343395	0.089656732
GPR98	-1.847273101	0.089850272
KIAA1920	0.487056476	0.089920587
ZCWPW2	0.912075438	0.089996256
ZNF396	0.557025807	0.090011144
KLHL5	0.508012422	0.090041042
PDGFRA	-1.298307051	0.090082117
PODXL	-0.736993424	0.090147263
OR7C1	-2.02419125	0.090160693
TMEM17	0.754482919	0.090253527
TNS3	-0.190188088	0.090260602
PLUNC	-1.208288175	0.09039596
KIF9	0.837492149	0.090465009
COBL	0.459427611	0.090572947
GCAT	-0.551709844	0.090582719
USH1C	-1.698309168	0.090718958
NLGN1	0.595931494	0.09074079
CTTN	-0.538309874	0.090817905
ANKHD1	-1.605345353	0.090832463
LOC100144603	0.616694722	0.090880033
SLC35E4	-1.823429279	0.09090153
DEFB107B	-0.914219077	0.090984317
TCF2	-1.082264837	0.09100895
NDUFS6	-0.629751305	0.091042098
GSDMC	-1.705702159	0.091107888
ZNF648	-1.492919903	0.091177773
RHBDD3	-0.204990854	0.091196667
STX10	-0.269957628	0.091445627
TTTY19	-0.454446374	0.091458408
CEP152	-0.624996225	0.091607267
EFCAB3	0.488255969	0.091614037
APOBEC1	-1.300928228	0.091774174
C6orf156	-1.76897277	0.091775529
CINP	-0.642115443	0.091912363
PCDHGA1	-0.316289768	0.091948571
C10orf82	-1.031287886	0.09203787
SH3KBP1	-0.283077068	0.092046624
KIF5C	0.658354207	0.092127789
IL17RB	-1.410306645	0.092138018
KLRC1	0.247476567	0.092316256
WFDC12	-0.89865472	0.092340201
SELT	0.485789762	0.092395048
LAMB4	0.438219065	0.092436396
ZNF192	1.100335494	0.092561499
ZNF69	0.405876374	0.092601102
HFE2	-1.197698375	0.09267155
HCN1	-1.190586271	0.092683322
ELTD1	-1.589245354	0.092735779
ARSB	-0.47331612	0.092749287
FLJ10661	-0.837018562	0.092836109
OPALIN	-1.511236257	0.092856876
ZNF238	-0.547071357	0.092931764
HLA-DRB5	0.90157433	0.092948811
RANBP3	-0.577554016	0.09301289
TMCC3	0.535770574	0.093075464
NOX5	-1.31889373	0.093098305
SHISA4	0.509329719	0.093121111
SLC9A9	-1.064268322	0.093189053
CBX2	-0.706234708	0.093214604
LOC645332	0.53256379	0.093270592
LYSMD4	-0.390588056	0.093328301
TEX14	0.601717211	0.093418316
SCN4B	-0.766135998	0.093418941
ANKRD23	0.577225843	0.093454604
TRPC4AP	-0.16849825	0.093453862
GNASAS	-0.605155541	0.093561107
NHP2	0.207383028	0.093585347
C6orf218	-0.924554133	0.093714459
C3orf30	0.903890631	0.093755395
INPP5B	0.48185314	0.093860307
CEACAM18	-1.689803278	0.093930235
IMPG1	0.765986715	0.094008086
HNRNPU	-0.346497496	0.09402818
CYFIP1	0.5201428	0.094079902
NHP2	-0.199383656	0.094116825
HPCAL1	-0.823709122	0.094362012
GPM6A	-1.221983445	0.094388355
C11orf20	0.563571541	0.094386694
SPINT2	0.301822746	0.094408022
VSX1	-0.78690603	0.09446562
PHF19	-0.727305323	0.094490042
DTWD1	0.490205654	0.094514789
KANK3	0.411626775	0.094526536
PTPRT	-1.085840113	0.094569197
NPY5R	-1.642085268	0.09463748
PTTG1IP	-0.262520344	0.094702818
CASC4	-0.611892774	0.094711504
APOD	-1.820152648	0.094733523
RGMA	0.619701751	0.094778188
TRIM46	0.542381582	0.094910173
PIWIL4	-1.318153816	0.094948491
CRYGC	-1.047325521	0.095158026
BIRC8	-1.514883456	0.095167014
HOXB9	-1.728403533	0.095238093
STK31	-0.794208146	0.095256177
CCNL2	0.599676671	0.095427546
ATG16L2	0.20514082	0.095466188
OR4K15	-1.250649231	0.095613964
RNF144A	-0.490541984	0.095635106
SREBF1	0.407099724	0.09579379
LCN2	-1.679369536	0.095861774
HDAC7	0.224831042	0.095882292
COIL	-0.273798998	0.095973328
GPR162	0.535125244	0.096069986
MBNL1	-0.475245038	0.096073988
BTNL3	-1.198466304	0.096185676
C21orf49	-1.340970232	0.096233839
KCNQ2	-2.014204292	0.096413803
VEGFA	-0.548173796	0.096461624
ZNF585A	-0.638684641	0.096547834
C13orf16	-1.198548554	0.09654807
PTPN22	0.566946414	0.096602173
STAC	0.603089594	0.096640417
F11	-0.729098912	0.096721859
SDF4	0.733087581	0.096731438
UBR7	-0.797078968	0.096858154
MATN3	-0.791307462	0.096879199
GPR61	-1.118778326	0.096948291
ZSCAN2	-0.641226974	0.096981893
BLID	0.949994205	0.097130081
MPP5	0.524063476	0.097168025
SPAG11A	-1.384791194	0.097320453
PACRG	-1.062090296	0.097388887
IL31RA	-0.99218475	0.097558581
OR10W1	0.801176358	0.097561767
C11orf47	-0.72816527	0.097618248
C7orf33	-1.720106897	0.097693362
PYGO1	0.662761931	0.097820218
PCDHGC5	-1.296749864	0.097859395
ABHD15	0.37333459	0.097905046
EFEMP1	-1.233507756	0.09793899
DKFZP564J102	-1.470487273	0.098056073
TTK	0.543220454	0.098132837
CLK3	0.256904438	0.098205208
BATF2	-1.25418285	0.098223766
SCG3	-0.573095222	0.098376536
GPR139	-1.439235872	0.09840957
GAS6	0.384034981	0.098490965
CXCR5	-1.601079803	0.098507747
NICN1	0.282685978	0.098686807
ZNF197	0.539922115	0.098710128
PTPRG	0.81438939	0.098772769
PKM2	0.181527538	0.098767395
C3orf59	0.558681356	0.098887141
RS1	-1.029189055	0.098905418
C18orf2	-1.948100034	0.098901671
NXPH2	-0.977472263	0.098943798
GIPR	-0.808392192	0.09901992
VCY	-1.387028216	0.099046362
GBX1	-1.328854775	0.099276219
FRMPD2L2	-0.869578583	0.099315314
RPP14	0.471742588	0.099539106
C1orf41	0.67778871	0.099550782
GPRC5B	-0.673694324	0.099690605
EPHB2	-0.977853293	0.09972642
SPAG1	0.522190583	0.099818881
TRIM9	-0.643237149	0.099834892
MGC12965	1.15651947	0.099946408
CMAH	-0.330109688	0.099955711
CSAG1	-0.929990386	0.10005165
ODF3B	0.596423838	0.100084081
MOSPD2	0.387108617	0.100195326
ZC3H14	-0.343603472	0.100197554
G6PC	-1.077572122	0.100343574
TH	-1.338557127	0.100371124
LCE3D	0.622388327	0.100425341
RWDD1	0.212255334	0.10046869
KCNQ5	0.540594706	0.100660754
LYG2	-1.54260909	0.100699317
ATP8B2	-0.329883398	0.100731659
NEDD8	-0.22988811	0.100745645
SLC27A5	0.532164006	0.1008084
DGKH	0.561512251	0.10081727
SPINLW1	-0.53194027	0.100869256
PIK3C2A	0.8533725	0.100868841
LOC100189589	0.642996249	0.100919004
FXYD2	-0.86879147	0.100958248
