year	marital	age	race	rincome	partyid	relig	denom	tvhours
2000	Married	38	White	$25000 or more	Not str republican	Protestant	Other baptists	NA
2000	Divorced	49	White	$25000 or more	Ind,near dem	Protestant	Southern baptist	2
2000	Separated	24	White	$25000 or more	Ind,near rep	Protestant	Other	2
2000	Separated	24	White	$10000 - 14999	Ind,near dem	Protestant	Southern baptist	1
2000	Married	35	White	$10000 - 14999	Ind,near rep	Protestant	Southern baptist	NA
2000	Divorced	63	White	Not applicable	Ind,near dem	Protestant	Southern baptist	NA
2000	Divorced	41	White	$25000 or more	Ind,near rep	None	Not applicable	NA
2000	Married	40	White	Not applicable	Ind,near dem	Protestant	Baptist-dk which	4
2000	Divorced	56	White	$15000 - 19999	Ind,near rep	Protestant	Other baptists	2
2000	Married	20	White	$4000 to 4999	Independent	Protestant	Other lutheran	NA
2000	Divorced	42	White	No answer	Not str republican	Catholic	Not applicable	0
2000	Never married	27	White	$15000 - 19999	Ind,near dem	None	Not applicable	1
2000	Divorced	50	White	$25000 or more	Not str democrat	None	Not applicable	1
2000	Never married	26	White	$8000 to 9999	Ind,near dem	None	Not applicable	NA
2000	Never married	43	White	$25000 or more	Strong democrat	Protestant	United methodist	NA
2000	Married	44	Black	$20000 - 24999	Not str democrat	Protestant	Am baptist asso	4
2000	Widowed	76	White	Not applicable	Not str democrat	Catholic	Not applicable	3
2000	Married	46	Black	$20000 - 24999	Strong democrat	Protestant	Other baptists	4
2000	Married	34	White	Not applicable	Independent	Protestant	Southern baptist	1
2000	Divorced	26	White	$20000 - 24999	Independent	Catholic	Not applicable	NA
2000	Married	44	White	$25000 or more	Strong republican	Protestant	Other methodist	NA
2000	Divorced	29	White	No answer	Strong republican	Protestant	United methodist	NA
2000	Married	39	White	$25000 or more	Strong republican	Protestant	Presbyterian c in us	2
2000	Married	51	White	$25000 or more	Ind,near dem	None	Not applicable	2
2000	Married	61	White	Not applicable	Ind,near dem	Catholic	Not applicable	1
2000	Never married	50	White	Not applicable	Independent	None	Not applicable	0
2000	Divorced	50	White	Not applicable	Strong democrat	Protestant	No denomination	0
2000	Never married	35	White	$10000 - 14999	Strong democrat	None	Not applicable	1
2000	Separated	61	White	$20000 - 24999	Strong democrat	Catholic	Not applicable	2
2000	Never married	32	White	$15000 - 19999	Not str democrat	Protestant	Other	1
2000	Married	56	White	$25000 or more	Independent	None	Not applicable	NA
2000	Married	35	White	$25000 or more	Not str democrat	None	Not applicable	3
2000	Married	46	White	$25000 or more	Ind,near rep	Protestant	Other	1
2000	Married	39	White	$10000 - 14999	Strong democrat	Protestant	Other	1
2000	Married	41	White	Refused	Not str democrat	Protestant	Southern baptist	2
2000	Never married	34	White	$25000 or more	Not str democrat	None	Not applicable	NA
2000	Married	34	White	Not applicable	Not str republican	Protestant	United methodist	4
2000	Never married	28	White	$25000 or more	Independent	None	Not applicable	NA
2000	Married	47	White	$8000 to 9999	Strong republican	Protestant	Other presbyterian	1
2000	Divorced	42	White	$10000 - 14999	Not str democrat	Catholic	Not applicable	NA
2000	Married	37	White	$25000 or more	Ind,near rep	Protestant	United methodist	2
2000	Married	40	White	$10000 - 14999	Not str democrat	Protestant	Lutheran-dk which	3
2000	Never married	50	White	Not applicable	Ind,near dem	Catholic	Not applicable	NA
2000	Never married	42	White	$6000 to 6999	Not str republican	Catholic	Not applicable	5
2000	Married	43	White	$20000 - 24999	Not str republican	Protestant	Southern baptist	1
2000	Divorced	76	White	Not applicable	Strong democrat	Protestant	United methodist	4
2000	Widowed	78	White	Not applicable	Strong democrat	Protestant	Southern baptist	NA
2000	Divorced	41	White	$25000 or more	Strong republican	Protestant	Other	NA
2000	Never married	61	White	$25000 or more	Not str republican	Protestant	Episcopal	NA
2000	Married	49	White	$20000 - 24999	Independent	Protestant	No denomination	0
2000	Divorced	39	White	Not applicable	Ind,near dem	Protestant	Southern baptist	NA
2000	Married	24	White	No answer	Ind,near rep	None	Not applicable	NA
2000	Never married	31	White	Not applicable	Strong democrat	Protestant	United methodist	NA
2000	Never married	35	Black	$25000 or more	Independent	Protestant	Other baptists	3
2000	Never married	29	White	Not applicable	Strong republican	Protestant	Southern baptist	2
2000	Separated	37	White	$15000 - 19999	Ind,near dem	Catholic	Not applicable	4
2000	Never married	41	White	$25000 or more	Not str republican	Protestant	Baptist-dk which	5
2000	Divorced	44	White	$25000 or more	Not str republican	Protestant	Baptist-dk which	NA
2000	Divorced	27	White	Not applicable	Not str republican	Protestant	Southern baptist	3
2000	Married	47	White	$25000 or more	Not str democrat	Protestant	Other	3
2000	Married	38	White	$25000 or more	Independent	None	Not applicable	NA
2000	Married	51	White	Not applicable	Strong democrat	Catholic	Not applicable	2
2000	Married	30	White	Not applicable	Strong republican	Protestant	Southern baptist	2
2000	Married	27	White	$25000 or more	Not str republican	Catholic	Not applicable	3
2000	Married	63	White	Not applicable	Strong democrat	Catholic	Not applicable	6
2000	Married	76	White	Not applicable	Ind,near rep	Protestant	Other methodist	6
2000	Never married	22	White	$8000 to 9999	Not str democrat	Catholic	Not applicable	NA
2000	Married	NA	White	Not applicable	Independent	Protestant	No denomination	NA
2000	Married	75	White	Not applicable	Strong democrat	Protestant	Baptist-dk which	NA
2000	Married	58	White	$25000 or more	Strong democrat	Protestant	Southern baptist	3
2000	Divorced	56	White	$25000 or more	Strong democrat	None	Not applicable	2
2000	Never married	42	White	$25000 or more	Independent	Protestant	Other	NA
2000	Married	58	White	Refused	Strong democrat	Catholic	Not applicable	NA
2000	Married	44	White	$25000 or more	Strong democrat	Protestant	United methodist	12
2000	Married	21	White	$15000 - 19999	Independent	Catholic	Not applicable	3
2000	Married	23	White	$25000 or more	Not str republican	Protestant	Other	NA
2000	Married	22	White	$6000 to 6999	Ind,near dem	None	Not applicable	NA
2000	Married	30	White	Not applicable	Independent	None	Not applicable	2
2000	Married	41	White	$7000 to 7999	Independent	Protestant	Other	5
2000	Divorced	52	White	$25000 or more	Not str democrat	None	Not applicable	2
2000	Separated	53	White	$25000 or more	Independent	Protestant	Southern baptist	NA
2000	Married	52	White	$25000 or more	Independent	Protestant	Southern baptist	3
2000	Widowed	74	White	Not applicable	Not str democrat	Catholic	Not applicable	NA
2000	Married	26	White	$25000 or more	Strong democrat	Protestant	United methodist	2
2000	Never married	21	White	Not applicable	Not str republican	Catholic	Not applicable	NA
2000	Separated	30	White	$25000 or more	Not str republican	Protestant	No answer	2
2000	Married	73	White	Not applicable	Not str democrat	Protestant	Luth ch in america	NA
2000	Never married	18	Black	$5000 to 5999	Strong democrat	Protestant	Baptist-dk which	NA
2000	Never married	54	White	$25000 or more	Not str republican	Protestant	Other	1
2000	Married	33	White	$1000 to 2999	Not str democrat	Protestant	Other	0
2000	Married	25	White	$10000 - 14999	Not str democrat	Protestant	United methodist	NA
2000	Married	42	White	$8000 to 9999	Independent	Catholic	Not applicable	3
2000	Married	27	White	Not applicable	Not str democrat	Catholic	Not applicable	2
2000	Never married	28	White	$8000 to 9999	Strong democrat	Catholic	Not applicable	2
2000	Married	37	White	$25000 or more	Not str democrat	Catholic	Not applicable	1
2000	Married	39	White	$10000 - 14999	Not str democrat	Catholic	Not applicable	3
2000	Married	36	White	$10000 - 14999	Independent	Protestant	No denomination	3
2000	Divorced	51	Black	$6000 to 6999	Not str republican	Protestant	Afr meth ep zion	15
2000	Never married	22	White	Not applicable	Ind,near dem	Catholic	Not applicable	4
2000	Married	23	White	$10000 - 14999	Not str democrat	Catholic	Not applicable	2
2000	Married	44	White	$8000 to 9999	Not str republican	Protestant	Other	NA
2000	Divorced	39	White	$15000 - 19999	Not str democrat	None	Not applicable	0
2000	Divorced	34	White	$25000 or more	Ind,near dem	Protestant	Baptist-dk which	NA
2000	Married	61	White	$25000 or more	Independent	Protestant	No denomination	5
2000	Married	56	White	$10000 - 14999	Ind,near rep	Catholic	Not applicable	NA
2000	Married	38	White	$25000 or more	Not str democrat	Protestant	Southern baptist	NA
2000	Separated	36	White	$25000 or more	Not str democrat	Catholic	Not applicable	3
2000	Married	41	Black	$10000 - 14999	Not str democrat	Protestant	Southern baptist	2
2000	Married	63	White	$25000 or more	Ind,near rep	None	Not applicable	0
2000	Married	46	White	$25000 or more	Not str republican	None	Not applicable	NA
2000	Never married	19	White	Lt $1000	Ind,near dem	Catholic	Not applicable	NA
2000	Married	24	White	$25000 or more	Ind,near rep	None	Not applicable	NA
2000	Married	73	White	Refused	Strong republican	Protestant	Methodist-dk which	1
2000	Married	40	White	$25000 or more	Not str republican	Protestant	Episcopal	4
2000	Married	78	White	Not applicable	Independent	Protestant	United methodist	13
2000	Married	78	White	Not applicable	Strong republican	Protestant	Other	4
2000	Divorced	39	White	$10000 - 14999	Independent	Protestant	Southern baptist	0
2000	Married	41	White	$20000 - 24999	Not str democrat	Catholic	Not applicable	NA
2000	Married	59	White	$25000 or more	Strong republican	None	Not applicable	3
2000	Married	31	White	Not applicable	Not str democrat	Catholic	Not applicable	2
2000	Married	50	White	$25000 or more	Independent	None	Not applicable	1
2000	Never married	18	White	Not applicable	Ind,near dem	Protestant	No denomination	NA
2000	Married	53	White	$25000 or more	Not str democrat	Protestant	Luth ch in america	2
2000	Married	42	White	$3000 to 3999	Not str republican	Protestant	United pres ch in us	1
2000	Married	41	White	$5000 to 5999	Strong republican	None	Not applicable	NA
2000	Married	60	White	$25000 or more	Not str republican	Protestant	Other	2
2000	Married	62	White	Not applicable	Independent	None	Not applicable	15
2000	Never married	30	White	$1000 to 2999	Not str democrat	None	Not applicable	0
2000	Never married	70	White	Not applicable	Ind,near dem	None	Not applicable	3
2000	Never married	86	White	Not applicable	Strong democrat	None	Not applicable	NA
2000	Never married	36	White	$15000 - 19999	Not str democrat	None	Not applicable	NA
2000	Divorced	75	White	Not applicable	Ind,near dem	Catholic	Not applicable	0
2000	Divorced	26	White	$20000 - 24999	Not str republican	Catholic	Not applicable	4
2000	Married	74	White	Not applicable	Strong republican	Protestant	Presbyterian, merged	NA
2000	Married	32	White	$3000 to 3999	Strong republican	Catholic	Not applicable	3
2000	Divorced	81	White	Lt $1000	Strong democrat	None	Not applicable	2
2000	Never married	37	White	$25000 or more	Not str republican	None	Not applicable	1
2000	Married	80	White	Not applicable	Not str democrat	None	Not applicable	1
2000	Married	86	White	Not applicable	Strong republican	Protestant	Baptist-dk which	5
2000	Divorced	63	White	$10000 - 14999	Not str democrat	Protestant	Lutheran-dk which	3
2000	Married	60	White	$25000 or more	Strong republican	Protestant	Lutheran-mo synod	3
2000	Married	56	Black	$25000 or more	Strong democrat	Protestant	Other baptists	1
2000	Separated	44	Black	$25000 or more	Ind,near dem	Protestant	Other	2
2000	Never married	22	White	$20000 - 24999	Ind,near rep	Protestant	Other	4
2000	Married	50	White	$25000 or more	Independent	Protestant	Lutheran-mo synod	3
2000	Never married	25	White	$25000 or more	Ind,near rep	Catholic	Not applicable	NA
2000	Never married	27	White	Refused	Independent	Catholic	Not applicable	NA
2000	Divorced	51	White	$25000 or more	Strong democrat	Protestant	United methodist	NA
2000	Never married	28	White	$25000 or more	Not str republican	Protestant	Lutheran-mo synod	1
2000	Married	45	White	$25000 or more	Strong democrat	Protestant	No answer	NA
2000	Married	24	White	$25000 or more	Strong republican	Protestant	Other	2
2000	Married	43	White	$25000 or more	Independent	None	Not applicable	NA
2000	Married	32	White	$25000 or more	Not str republican	Protestant	Lutheran-mo synod	1
2000	Married	25	White	$25000 or more	Independent	None	Not applicable	3
2000	Married	22	White	$10000 - 14999	Independent	Protestant	United methodist	NA
2000	Married	30	White	$25000 or more	Independent	Protestant	United methodist	NA
2000	Married	40	White	Not applicable	Not str republican	None	Not applicable	1
2000	Never married	24	White	$10000 - 14999	Strong democrat	None	Not applicable	1
2000	Never married	25	White	$15000 - 19999	Independent	None	Not applicable	2
2000	Widowed	78	White	Not applicable	Not str democrat	Catholic	Not applicable	2
2000	Never married	32	White	$8000 to 9999	Not str republican	Protestant	Lutheran-dk which	3
2000	Divorced	49	White	$25000 or more	Not str democrat	Catholic	Not applicable	4
2000	Married	72	White	$15000 - 19999	Not str republican	Protestant	No denomination	NA
2000	Never married	19	White	Not applicable	Strong republican	Protestant	Presbyterian c in us	4
2000	Married	37	White	$15000 - 19999	Ind,near dem	Protestant	Lutheran-dk which	2
2000	Married	49	White	$20000 - 24999	Not str democrat	Catholic	Not applicable	4
2000	Never married	24	White	$8000 to 9999	Not str democrat	Protestant	Other	3
2000	Never married	20	White	Not applicable	Independent	None	Not applicable	NA
2000	Never married	21	White	Not applicable	Independent	None	Not applicable	4
2000	Married	40	White	$25000 or more	Not str democrat	Protestant	Other	1
2000	Never married	81	White	Lt $1000	Not str democrat	Catholic	Not applicable	NA
2000	Never married	40	White	$25000 or more	Independent	Protestant	Lutheran-dk which	2
2000	Widowed	80	White	Not applicable	Strong democrat	Protestant	United methodist	8
2000	Married	52	White	$20000 - 24999	Not str democrat	Protestant	Am lutheran	NA
2000	Never married	40	Black	$25000 or more	Strong democrat	Protestant	Am baptist asso	NA
2000	Married	61	White	Not applicable	Independent	None	Not applicable	8
2000	Never married	45	Black	Not applicable	Strong democrat	Protestant	Am baptist asso	8
2000	Never married	19	White	$10000 - 14999	Not str democrat	Protestant	Presbyterian-dk wh	1
2000	Widowed	71	Black	Not applicable	Not str democrat	Protestant	Baptist-dk which	12
2000	Married	60	White	$20000 - 24999	Independent	Protestant	Other baptists	NA
2000	Married	45	White	$10000 - 14999	Not str republican	Protestant	Other	2
2000	Divorced	45	White	$25000 or more	Not str democrat	None	Not applicable	2
2000	Divorced	54	White	$25000 or more	Ind,near dem	Protestant	Evangelical luth	2
2000	Divorced	56	White	$10000 - 14999	Strong democrat	Protestant	United methodist	3
2000	Married	37	Black	Not applicable	Independent	Catholic	Not applicable	4
2000	Married	32	Black	$20000 - 24999	Not str republican	Protestant	Am lutheran	NA
2000	Married	29	White	$7000 to 7999	Not str democrat	None	Not applicable	4
2000	Married	39	White	$4000 to 4999	Ind,near rep	Protestant	No denomination	NA
2000	Married	77	White	Not applicable	Ind,near rep	None	Not applicable	NA
2000	Married	48	White	$10000 - 14999	Independent	Catholic	Not applicable	6
2000	Married	41	White	$25000 or more	Independent	Catholic	Not applicable	NA
2000	Widowed	77	White	Not applicable	Strong republican	Protestant	Episcopal	8
2000	Never married	36	White	$5000 to 5999	Ind,near dem	None	Not applicable	1
2000	Never married	23	White	Lt $1000	Ind,near dem	None	Not applicable	0
2000	Never married	39	White	$25000 or more	Ind,near dem	Protestant	No denomination	NA
2000	Never married	46	White	$20000 - 24999	Independent	None	Not applicable	NA
2000	Never married	21	White	$10000 - 14999	Ind,near dem	Catholic	Not applicable	3
2000	Never married	34	White	$15000 - 19999	Independent	None	Not applicable	2
2000	Married	44	White	Not applicable	Strong democrat	Catholic	Not applicable	NA
2000	Widowed	54	White	$20000 - 24999	Ind,near rep	Protestant	United methodist	2
2000	Married	23	White	$3000 to 3999	Not str republican	Catholic	Not applicable	2
2000	Married	64	White	Not applicable	Strong democrat	Protestant	Baptist-dk which	NA
2000	Married	43	White	$25000 or more	Independent	Protestant	Am bapt ch in usa	2
2000	Widowed	34	White	Not applicable	Ind,near rep	Protestant	United methodist	NA
2000	Married	72	White	Not applicable	Strong republican	Protestant	Lutheran-mo synod	1
2000	Married	66	White	Not applicable	Strong democrat	Protestant	United pres ch in us	NA
2000	Widowed	85	White	Not applicable	Not str democrat	Catholic	Not applicable	NA
2000	Never married	28	White	$20000 - 24999	Not str republican	Protestant	Southern baptist	1
2000	Married	NA	White	Refused	Strong republican	Catholic	Not applicable	2
2000	Widowed	77	White	$10000 - 14999	Independent	Protestant	United methodist	3
2000	Married	47	White	$25000 or more	Not str democrat	Protestant	Other baptists	2
2000	Married	41	White	Refused	Not str republican	Protestant	Southern baptist	2
2000	Married	66	White	$25000 or more	Not str republican	Catholic	Not applicable	NA
2000	Divorced	37	White	$25000 or more	Ind,near dem	Protestant	Episcopal	1
2000	Married	71	White	Not applicable	Strong republican	Catholic	Not applicable	NA
2000	Never married	35	White	$25000 or more	Strong republican	Catholic	Not applicable	NA
2000	Divorced	73	White	$1000 to 2999	Not str democrat	Protestant	United methodist	10
2000	Married	40	Black	Not applicable	Strong republican	Protestant	Am bapt ch in usa	2
2000	Married	42	Black	$25000 or more	Ind,near dem	Protestant	Evangelical luth	3
2000	Widowed	85	White	Not applicable	Independent	Protestant	Am baptist asso	3
2000	Never married	39	White	$25000 or more	Not str republican	Protestant	United methodist	1
2000	Divorced	33	White	$15000 - 19999	Strong republican	Protestant	Other	NA
2000	Divorced	30	White	Lt $1000	Ind,near dem	None	Not applicable	4
2000	Separated	56	White	Not applicable	Independent	Protestant	Other baptists	0
2000	Divorced	43	White	Refused	Not str republican	Protestant	Baptist-dk which	NA
2000	Separated	26	Black	$20000 - 24999	Ind,near dem	Protestant	Other baptists	1
2000	Married	52	Black	$25000 or more	Strong democrat	Protestant	Nat bapt conv usa	NA
2000	Separated	38	White	$5000 to 5999	Independent	Protestant	Baptist-dk which	3
2000	Divorced	35	Black	$25000 or more	Independent	None	Not applicable	NA
2000	Married	28	White	$15000 - 19999	Strong democrat	Catholic	Not applicable	8
2000	Never married	29	Black	$20000 - 24999	Strong democrat	Protestant	Afr meth episcopal	2
2000	Never married	50	White	Not applicable	Strong democrat	Protestant	Other baptists	1
2000	Never married	45	White	$25000 or more	Not str republican	Protestant	Baptist-dk which	4
2000	Divorced	61	White	Refused	Ind,near rep	Protestant	United methodist	2
2000	Separated	45	Black	$6000 to 6999	Strong democrat	Protestant	United methodist	1
2000	Married	44	Black	Not applicable	Strong democrat	Protestant	Afr meth episcopal	8
2000	Divorced	63	White	$25000 or more	Strong republican	Protestant	No denomination	NA
2000	Divorced	42	White	$25000 or more	Ind,near rep	Protestant	No denomination	3
2000	Divorced	66	White	Not applicable	Independent	None	Not applicable	NA
2000	Married	46	White	$25000 or more	Not str republican	None	Not applicable	1
2000	Divorced	42	White	$25000 or more	Ind,near rep	Protestant	No denomination	2
2000	Never married	19	White	$1000 to 2999	Not str republican	Protestant	No denomination	1
2000	Never married	66	White	Not applicable	Independent	None	Not applicable	1
2000	Married	41	Black	$10000 - 14999	Not str democrat	Protestant	Am baptist asso	3
2000	Married	38	White	Not applicable	Not str democrat	Protestant	No denomination	NA
2000	Married	41	White	$25000 or more	Not str democrat	Catholic	Not applicable	4
2000	Widowed	57	Black	Don't know	Not str democrat	Protestant	No denomination	4
2000	Widowed	28	Black	$20000 - 24999	Independent	Protestant	Other baptists	1
2000	Divorced	46	White	$10000 - 14999	Independent	None	Not applicable	2
2000	Never married	46	Black	$25000 or more	Strong democrat	Protestant	Southern baptist	3
2000	Married	43	White	$25000 or more	Strong republican	Protestant	No denomination	NA
2000	Married	39	Black	$25000 or more	Strong democrat	Protestant	Am bapt ch in usa	6
2000	Married	38	White	$25000 or more	Ind,near rep	Catholic	Not applicable	NA
2000	Married	89	White	Not applicable	Strong democrat	Protestant	United pres ch in us	5
2000	Divorced	50	Black	Refused	Ind,near rep	Protestant	No denomination	NA
2000	Never married	36	White	$1000 to 2999	Independent	Protestant	Baptist-dk which	8
2000	Married	29	White	$25000 or more	Not str republican	None	Not applicable	2
2000	Divorced	63	White	$25000 or more	Strong republican	Protestant	Other baptists	2
2000	Divorced	52	White	$25000 or more	Ind,near dem	Protestant	Southern baptist	2
2000	Divorced	32	White	$3000 to 3999	Independent	None	Not applicable	NA
2000	Divorced	68	White	$10000 - 14999	Ind,near dem	Protestant	Southern baptist	NA
2000	Married	51	White	$8000 to 9999	Independent	None	Not applicable	NA
2000	Married	27	White	$10000 - 14999	Ind,near dem	Protestant	Southern baptist	2
2000	Divorced	47	White	$10000 - 14999	Not str democrat	None	Not applicable	3
2000	Divorced	72	White	Refused	Not str democrat	Protestant	Southern baptist	3
2000	Married	46	White	Refused	Strong democrat	None	Not applicable	6
2000	Separated	51	White	$25000 or more	Not str democrat	Protestant	Other baptists	NA
2000	Married	41	Black	$25000 or more	Not str democrat	Protestant	Baptist-dk which	NA
2000	Divorced	44	Black	$20000 - 24999	Strong democrat	Protestant	Southern baptist	4
2000	Divorced	52	White	$20000 - 24999	Strong republican	Protestant	Other	3
2000	Married	31	White	$20000 - 24999	Ind,near dem	Catholic	Not applicable	NA
2000	Never married	25	White	$25000 or more	Strong republican	Catholic	Not applicable	1
2000	Married	59	White	$15000 - 19999	Not str democrat	Protestant	United methodist	2
2000	Never married	21	White	$10000 - 14999	Ind,near rep	None	Not applicable	2
2000	Widowed	81	White	Refused	Not str republican	Protestant	Methodist-dk which	7
2000	Married	31	White	$20000 - 24999	Not str democrat	Catholic	Not applicable	2
2000	Never married	25	White	Lt $1000	Strong republican	Catholic	Not applicable	NA
2000	Divorced	49	White	$25000 or more	Not str republican	Protestant	United methodist	NA
2000	Never married	33	Black	$10000 - 14999	Ind,near dem	Protestant	Baptist-dk which	2
2000	Married	60	White	$25000 or more	Strong republican	Protestant	United methodist	1
2000	Divorced	51	White	$20000 - 24999	Independent	Protestant	United methodist	2
2000	Widowed	84	White	Don't know	Not str republican	Protestant	Other lutheran	8
2000	Never married	27	White	Not applicable	Ind,near rep	Protestant	Other baptists	NA
2000	Married	31	White	$25000 or more	Strong democrat	Catholic	Not applicable	1
2000	Never married	29	White	$15000 - 19999	Strong republican	Protestant	Episcopal	NA
2000	Married	66	White	Not applicable	Not str democrat	Protestant	Other	NA
2000	Married	34	Black	$25000 or more	Strong democrat	Protestant	Southern baptist	1
2000	Married	78	White	Not applicable	Not str democrat	Protestant	Other lutheran	NA
2000	Married	57	White	$1000 to 2999	Independent	None	Not applicable	5
2000	Widowed	84	White	Not applicable	Independent	Protestant	Other baptists	1
2000	Married	75	White	Don't know	Independent	Protestant	Evangelical luth	NA
2000	Married	78	White	Not applicable	Not str democrat	Protestant	Luth ch in america	3
2000	Married	37	White	Not applicable	Not str democrat	None	Not applicable	NA
2000	Married	83	White	Not applicable	Strong republican	Catholic	Not applicable	NA
2000	Married	48	White	$25000 or more	Not str democrat	Catholic	Not applicable	NA
2000	Married	42	White	$25000 or more	Not str republican	Catholic	Not applicable	3
2000	Married	41	White	Refused	Independent	Catholic	Not applicable	1
2000	Married	55	White	$25000 or more	Independent	Protestant	Other	3
2000	Divorced	41	White	$25000 or more	Not str democrat	Catholic	Not applicable	NA
2000	Never married	19	White	$1000 to 2999	Independent	Protestant	Other	0
2000	Married	37	Black	Not applicable	Ind,near dem	Protestant	Other	2
2000	Married	49	White	$25000 or more	Not str democrat	Protestant	Other presbyterian	NA
2000	Married	48	White	Not applicable	Strong democrat	Catholic	Not applicable	NA
2000	Never married	49	White	Not applicable	Ind,near dem	Catholic	Not applicable	10
2000	Married	35	White	No answer	Independent	Catholic	Not applicable	NA
2000	Divorced	56	White	Not applicable	Ind,near dem	Catholic	Not applicable	4
2000	Widowed	82	White	Not applicable	Strong democrat	Catholic	Not applicable	3
2000	Married	26	White	$15000 - 19999	Ind,near dem	Catholic	Not applicable	NA
2000	Widowed	70	White	Not applicable	Ind,near dem	Protestant	Other presbyterian	6
2000	Widowed	55	White	Not applicable	Ind,near dem	Catholic	Not applicable	0
2000	Never married	59	White	Not applicable	Ind,near dem	Catholic	Not applicable	20
2000	Married	38	White	$25000 or more	Ind,near dem	Catholic	Not applicable	1
2000	Married	44	White	$25000 or more	Not str democrat	Protestant	Other	NA
2000	Married	66	White	Refused	Independent	Catholic	Not applicable	3
2000	Married	52	White	$25000 or more	Independent	Catholic	Not applicable	2
2000	Never married	25	White	Lt $1000	Independent	None	Not applicable	14
2000	Divorced	49	White	$20000 - 24999	Not str democrat	Protestant	Southern baptist	NA
2000	Divorced	70	White	Not applicable	Independent	Catholic	Not applicable	2
2000	Married	20	White	Not applicable	Not str republican	Protestant	United methodist	3
2000	Never married	33	White	$15000 - 19999	Independent	Protestant	No denomination	NA
2000	Divorced	56	White	$1000 to 2999	Strong republican	Protestant	Southern baptist	2
2000	Never married	34	White	$7000 to 7999	Ind,near rep	Protestant	Other baptists	0
2000	Never married	24	White	$8000 to 9999	Ind,near dem	Protestant	Southern baptist	6
2000	Divorced	35	White	Not applicable	Not str democrat	Catholic	Not applicable	2
2000	Divorced	47	White	$20000 - 24999	Not str democrat	Catholic	Not applicable	2
2000	Married	28	White	$25000 or more	Independent	Catholic	Not applicable	NA
2000	Divorced	42	White	$25000 or more	Not str democrat	Catholic	Not applicable	2
2000	Married	80	White	Not applicable	Strong democrat	Catholic	Not applicable	NA
2000	Married	54	White	Refused	Independent	Catholic	Not applicable	2
2000	Never married	69	White	$10000 - 14999	Not str republican	Protestant	No denomination	2
2000	Married	29	White	$25000 or more	Independent	Catholic	Not applicable	2
2000	Never married	29	Black	$10000 - 14999	Not str democrat	Protestant	Other presbyterian	3
2000	Divorced	68	White	Not applicable	Independent	Catholic	Not applicable	2
2000	Never married	58	Black	$20000 - 24999	Independent	Protestant	Nat bapt conv of am	4
2000	Divorced	53	White	$25000 or more	Strong democrat	Catholic	Not applicable	NA
2000	Married	59	White	$25000 or more	Strong republican	Catholic	Not applicable	2
2000	Married	35	White	$20000 - 24999	Not str democrat	Protestant	Presbyterian c in us	2
2000	Divorced	52	White	$15000 - 19999	Independent	Protestant	No denomination	3
2000	Widowed	81	White	Not applicable	Not str democrat	Catholic	Not applicable	NA
2000	Married	38	White	$8000 to 9999	Ind,near rep	Protestant	Lutheran-mo synod	NA
2000	Married	53	White	$25000 or more	Independent	None	Not applicable	5
2000	Married	28	White	$25000 or more	Not str republican	Protestant	Southern baptist	NA
2000	Never married	44	White	$25000 or more	Not str republican	Protestant	United methodist	2
2000	Never married	39	White	$25000 or more	Not str democrat	Catholic	Not applicable	4
2000	Never married	32	White	$15000 - 19999	Not str democrat	None	Not applicable	NA
2000	Divorced	46	White	$25000 or more	Ind,near dem	Protestant	Other	4
2000	Divorced	61	White	Refused	Strong democrat	Catholic	Not applicable	NA
2000	Divorced	38	White	$20000 - 24999	Strong republican	Protestant	Other baptists	3
2000	Never married	24	White	$10000 - 14999	Not str democrat	None	Not applicable	NA
2000	Married	26	White	$20000 - 24999	Ind,near dem	Catholic	Not applicable	2
2000	Never married	44	White	$25000 or more	Not str democrat	None	Not applicable	0
2000	Never married	24	White	$25000 or more	Ind,near rep	None	Not applicable	4
2000	Married	29	White	Refused	Strong democrat	Catholic	Not applicable	NA
2000	Married	48	White	Don't know	Ind,near dem	Protestant	Other	NA
2000	Married	71	Black	Not applicable	Strong democrat	Protestant	Nat bapt conv of am	NA
2000	Never married	41	White	$25000 or more	Not str republican	Protestant	United methodist	1
2000	Divorced	60	White	Not applicable	Ind,near dem	Protestant	Other	2
2000	Married	46	White	$25000 or more	Not str democrat	Protestant	No denomination	NA
2000	Married	33	White	$25000 or more	Strong democrat	Protestant	Methodist-dk which	NA
2000	Never married	26	White	$3000 to 3999	Ind,near dem	None	Not applicable	2
2000	Never married	22	White	$5000 to 5999	Not str republican	Protestant	Southern baptist	NA
2000	Married	44	White	$25000 or more	Independent	Protestant	No denomination	1
2000	Married	30	White	$25000 or more	Not str democrat	None	Not applicable	1
2000	Separated	42	White	$1000 to 2999	Ind,near dem	Protestant	No denomination	NA
2000	Married	31	White	Refused	Not str democrat	Catholic	Not applicable	2
2000	Married	38	White	Don't know	Not str democrat	Protestant	Other baptists	2
2000	Married	33	White	$25000 or more	Independent	Catholic	Not applicable	NA
2000	Married	26	White	$25000 or more	Not str republican	None	Not applicable	2
2000	Divorced	52	White	$25000 or more	Strong republican	Protestant	Southern baptist	2
2000	Never married	53	White	$25000 or more	Not str democrat	Catholic	Not applicable	2
2000	Never married	24	White	$25000 or more	Not str democrat	Catholic	Not applicable	NA
2000	Divorced	50	White	$25000 or more	Independent	Catholic	Not applicable	4
