gene,log2FC,pvalue
SS18,-0.214170856,0.015303552
TAF4B,-0.631048065,0.014617966
AFG3L2,-0.187719324,0.109630021
PRELID3A,0.268025127,0.263989082
IMPA2,-2.32689708,1.82E-47
GNAL,0.053071814,0.870168429
SLC39A6,0.180499364,0.032407452
RPRD1A,-0.192235336,0.104807078
C18orf21,0.1005444,0.514925974
GALNT1,0.151807796,0.071874788
ASXL3,1.488510395,0.000173487
SLC25A52,-0.043308857,0.951174224
GAREM1,-0.275855717,0.144499473
ESCO1,-0.132578122,0.339397969
OSBPL1A,0.372409047,0.000440299
GATA6,0.605617603,0.009852103
GREB1L,-1.31213002,0.335124987
RMC1,-0.52801323,0.000824262
PELP1,0.166787727,0.083761031
NPC1,-0.837346377,7.30E-09
SLC14A1,4.124763872,0.000261334
ARRB2,0.348948048,0.054382918
ZMYND15,-0.23731529,0.710631998
WRAP53,0.051381229,0.803944548
MINK1,0.109320581,0.210655628
SAT2,0.215287689,0.046780978
ASGR1,0.872894941,0.198416598
TP53,0.427461974,2.52E-05
CCDC40,0.277048429,0.237129683
ARHGDIA,-0.454564105,1.57E-06
TMC6,1.517007312,0.372621366
SLC16A3,-0.484515981,0.239957903
CARD14,0.738960108,0.189616061
TTYH2,0.653163531,0.016685388
RAB40B,0.34286069,0.016635801
EIF4A3,-0.195036338,0.067203168
CSNK1D,0.036920636,0.679084875
ANAPC11,-0.225502111,0.028202391
TBCD,0.039156772,0.662770611
FN3KRP,0.044568398,0.708785032
NARF,0.222539172,0.025850344
RPTOR,-0.142255681,0.178628055
FOXK2,-0.158797359,0.13873487
TRIM65,0.021441737,0.885187888
CBX8,-0.31916431,0.067323546
SECTM1,0.677593927,1.20E-08
RNF157,-0.764644425,0.001329165
CEP131,0.210784235,0.173116381
WDR45B,0.005509075,0.95933462
CBX4,-0.058520071,0.676662279
DYM,0.067219193,0.553626496
ELAC1,0.316093129,0.155673055
MBD1,0.109137096,0.23632819
SMAD4,-0.223779121,0.043293501
TNFRSF11A,0.622737204,0.315546987
ZCCHC2,-0.131585698,0.528320351
FBXO15,0.489752395,0.451030146
PMAIP1,-0.004395863,0.986909646
P3H4,0.169732671,0.145387746
NT5C3B,0.070923343,0.491075452
RETREG3,-0.290424026,0.006014461
ERBB2,-0.154936479,0.116354943
GRB7,0.693638929,0.519855796
MIEN1,-0.239466465,0.065072681
ARL5C,-0.634864486,0.618733727
IGFBP4,0.257317001,0.005705294
FKBP10,0.124575185,0.084985232
TXNL4A,-0.142000691,0.273267713
CACNA1A,0.25960038,0.130027742
MISP3,-0.141313682,0.690438245
SAMD1,0.055820295,0.676409209
BRD4,-0.458465315,1.39E-05
SLC39A3,-0.00875975,0.958895566
NFIC,-0.185137736,0.02617705
TPGS1,-0.166187935,0.493602991
PLPP2,0.528871819,0.073066016
PRDM15,0.261601781,0.104541507
PFKL,-0.025963512,0.868261896
MVB12A,-0.188175658,0.115871699
SH3GL1,-0.226329035,0.015967112
DUS3L,-0.095557266,0.582002466
DPP9,-0.442861963,1.33E-06
CCDC97,-0.034283469,0.749907571
TMEM91,-0.325858398,0.12220526
ZFP14,0.494787407,0.009202921
SIRT3,0.046157073,0.699956173
IFITM3,-0.095775471,0.177571768
PGGHG,-0.447044918,0.000134177
HUNK,1.450521012,7.69E-05
COL6A1,0.107217371,0.191469862
IFNAR1,0.073485443,0.403329836
SOD1,-0.087748054,0.308675518
COL6A2,0.100790243,0.20279417
SIK1,-0.152874729,0.666683436
SCYL1,-0.099749716,0.293337638
TMEM50B,-0.371185952,0.011206149
APP,0.139355019,0.070946814
DOP1B,-0.06151792,0.699893723
URB1,-0.080971072,0.476685428
AKT1,-0.210331403,0.029145695
IL19,-1.30163645,0.602281896
EMP3,0.608948319,1.71E-09
SAE1,0.022419378,0.808149864
NTN5,1.149431698,0.100646507
LMTK3,-0.006258559,0.99108835
GEMIN7,-0.190660106,0.435943088
WTIP,-0.644129605,1.08E-06
ADAMTS10,0.279812311,0.018001629
SLC6A3,-0.616973323,0.764483165
RNPEPL1,-0.606353877,2.65E-11
CAPN10,-0.201358258,0.176033126
MYO1F,0.450875474,0.285551553
ERVK3-1,0.098345477,0.54914007
CACNG8,-0.109732023,0.687900767
ZNF787,0.12091168,0.399779384
TIMM29,0.054096222,0.745169163
CARM1,0.21174095,0.028747409
EVI5L,0.367843833,0.000897587
SLC47A1,0.709752168,0.094814257
PSMB6,0.157027779,0.094747534
ZNF473,0.081099564,0.641468698
FAM71E1,0.963674582,0.340140025
RPS11,0.056242739,0.521057532
RPL13A,0.07360395,0.425967114
CTU1,-0.549265453,0.093514602
NOSIP,-0.066000894,0.569433345
RCN3,0.093637233,0.321548539
ZNF614,0.184151372,0.21685781
SLC2A5,0.165087165,0.807760433
RERE,-0.096285424,0.341951611
PRDM16,0.290893391,0.287512174
EPHA2,0.132001946,0.585534356
ARHGEF19,-1.016662535,1.72E-05
EFHD2,-0.415371955,6.97E-05
PEX14,-0.028872432,0.830450762
PGD,0.013519145,0.922399602
SH3BGRL3,0.037867369,0.66395068
CNKSR1,-1.015539038,0.304230296
RPL11,0.093505856,0.279422383
IL22RA1,-1.12221968,0.043206303
C1orf216,0.024722357,0.809973492
KIAA0319L,0.052979589,0.61398018
EVA1B,0.017620987,0.904924297
C1orf94,-0.105934263,0.912647019
DMRTA2,-0.28954224,0.587207018
PLK4,0.691814304,0.081100989
MAP3K6,-0.345333639,0.001959128
FCN3,-0.49036969,0.756885555
GPN2,-0.226637389,0.040796273
SYTL1,-0.649839567,0.617949407
WDTC1,-0.214658275,0.027523248
NBPF3,-0.463105134,0.000705082
HSPG2,-0.035409353,0.819804119
ITGB3BP,0.124165723,0.467347242
SERBP1,-0.426750047,1.08E-05
BCL10,0.018941845,0.880860165
CCN1,-1.740439367,1.05E-08
PRKACB,0.59185626,1.21E-09
PIGK,-0.143893609,0.190171215
TINAGL1,-0.945588099,8.36E-06
AZIN2,0.187283624,0.493009254
RPS8,0.068766021,0.432073494
KIF2C,-0.140273514,0.704271949
PTPRF,0.280364969,0.0842
BEST4,0.535192649,0.544966085
MOB3C,-0.093814968,0.497280546
TMEM61,-1.561775816,0.37853723
LMO4,0.383589773,2.68E-05
SYPL2,-1.220028968,1.56E-07
MTF2,0.307536839,0.075019364
SLC44A3,-0.561754996,0.003783658
IGSF3,0.7087394,0.387581086
ZNF697,0.752173442,2.32E-06
CTTNBP2NL,-0.243283925,0.0508447
STRIP1,0.015168701,0.868921092
PSMA5,-0.464492186,1.01E-06
C1orf162,-0.155276817,0.797041814
CELSR2,0.04278204,0.874893036
ITGA10,-3.818723236,1.16E-17
GPR161,-0.229561611,0.062837523
ALDH9A1,-0.015838464,0.884486395
ATP1B1,-0.650029583,2.69E-05
TIPRL,-0.106302723,0.391087766
NME7,0.154752037,0.358307888
POGK,-0.209306621,0.036066522
MPC2,0.246741082,0.046200126
CREG1,-0.047238697,0.61531727
DCAF6,-0.326635107,0.000353985
TBX19,-0.154917892,0.479132306
UCK2,-0.30953108,0.027226089
TMCO1,-0.166387571,0.060055187
POU2F1,0.118939628,0.35724481
DPT,-1.050184318,7.36E-12
MGST3,-0.044652122,0.59705715
ADCY10,-0.410995373,0.690330872
COP1,-0.037119095,0.781055165
NECTIN4,1.242728076,0.323000271
UFC1,-0.004670678,0.960946257
PPOX,0.066428028,0.688479945
FCGR2A,1.214833712,0.003549406
FCGR2C,1.214833712,0.003549406
NUF2,-0.088784744,0.866045537
RGS5,0.278819278,0.165868529
SDHC,-0.099732291,0.318768194
PFDN2,-0.118939815,0.372829296
NR1I3,-1.060046376,0.250196966
USP21,0.340879047,0.016011279
PRCC,0.046865032,0.67106564
RRNAD1,-0.140306586,0.321773058
MRPL24,-0.106214864,0.396946704
PIGM,0.095220814,0.522518533
CASQ1,-0.012594406,0.989323101
ISG20L2,0.005396377,0.96488349
CRABP2,1.636645871,2.39E-31
HDGF,0.147276488,0.115859929
ABL2,-0.528356664,6.01E-06
XPR1,0.136225411,0.299170677
RGS16,-0.868154685,0.078548412
TOR1AIP1,-0.121772576,0.142345153
HMCN1,0.442982524,0.000357345
RGL1,1.074999424,1.10E-16
LYPLAL1,-0.315289521,0.028238835
PRUNE1,0.074297565,0.615629727
TUFT1,0.311550694,0.086343189
SF3B4,-0.14918537,0.101956014
ECM1,0.129774659,0.167240077
ZNF687,0.191992488,0.080280573
TARS2,0.056629535,0.664978254
CGN,-0.745772596,0.638804376
SNX27,-0.069391568,0.507381493
SETDB1,0.022586189,0.843038682
ADAMTSL4,-0.853655136,6.05E-14
MCL1,-0.590683585,5.70E-09
CTSK,0.094014667,0.304678694
RFX5,0.455847351,8.28E-05
PI4KB,0.25965049,0.005807499
PIP5K1A,-0.386389347,6.90E-06
ANP32E,0.252845,0.025173994
MINDY1,0.336964849,0.009999051
ANXA9,0.063509533,0.782299128
SELENBP1,0.664152326,4.19E-07
CERS2,-0.167732981,0.084414334
ENSA,0.132145108,0.136750187
SEMA6C,-0.816802783,1.11E-05
MRPL9,-0.025294011,0.880281172
ARNT,-0.032200791,0.706549794
POGZ,0.210230202,0.016094587
C1orf56,0.284731734,0.235965478
OAZ3,0.713842322,0.389643212
GOLPH3L,0.192370038,0.08258933
GABPB2,-0.254350667,0.049886522
SYT14,0.638772315,0.002674565
DTL,0.692229616,0.149252545
DYRK3,0.101665183,0.482461915
EIF2D,0.11120543,0.24320748
INTS7,0.581548864,2.04E-05
VASH2,3.949029994,1.21E-09
TAF1A,0.563608541,0.008850223
SMYD2,-0.305991864,0.017763033
DUSP10,1.184896613,5.63E-19
HHIPL2,1.454617923,0.023919435
TP53BP2,-0.136486226,0.297134387
ATP8B2,-0.037384774,0.674265915
FLG2,1.152314345,0.348730893
ADAM15,-0.03041937,0.748664318
JTB,-0.143299062,0.174657054
RAB13,-0.102559632,0.245032888
TPM3,-0.36536258,0.000138315
NUP210L,2.049475106,0.296441084
SNAPIN,0.123490621,0.261317719
SLC27A3,-0.197841492,0.147325128
S100A7,-0.3460827,0.85058936
UBAP2L,-0.152764924,0.05173403
SLC39A1,-0.317303193,0.000116995
HAX1,0.055507995,0.566838859
CREB3L4,0.048555583,0.828600625
EFNA3,0.244642528,0.678893728
C1orf43,-0.206543135,0.017308211
GATAD2B,-0.069606201,0.57534824
ILF2,0.152130286,0.07748638
RIT1,0.065173719,0.605818937
INTS3,0.129422452,0.156240616
HCN3,0.217887506,0.349852723
FLG,0.867762004,3.40E-06
ACTA1,-3.220298359,0.044224446
C1orf131,-0.248359503,0.177295012
GALNT2,-0.23082986,0.002241271
TTC13,-0.42691972,0.014319886
SCCPDH,0.074733936,0.434087114
LYST,0.035569024,0.78065992
MAP3K21,0.090486585,0.926267255
CEP170,0.481193681,3.55E-07
ACP1,-0.122955571,0.198009823
SNAP47,0.444430317,5.50E-05
SRP9,0.035299483,0.708650966
NVL,0.373971105,0.007529029
SDE2,0.175803816,0.215865317
DEGS1,-0.390582053,2.47E-06
FBXO28,-0.080100557,0.434198236
ARF1,-0.311835971,0.000215064
CNIH4,-0.509102816,7.96E-08
ITPKB,0.907675267,1.67E-09
GUK1,-0.081459326,0.407638369
CDC42BPA,-0.020193123,0.812992666
CNIH3,1.519616247,7.13E-11
C1orf35,-0.245181867,0.161963179
MBOAT2,0.184893703,0.097976617
PARP1,0.028419701,0.764863711
PSEN2,-0.165781923,0.231267592
PYCR2,-0.394523405,0.002341814
LBR,-0.080840516,0.562120326
WNT9A,0.090163125,0.640972094
EPHX1,0.105697466,0.36912421
REN,1.632372408,0.258378553
SOX13,-0.181676129,0.242174943
ETNK2,-0.434403744,0.011165958
PPFIA4,0.687467264,0.154686351
PLEKHA6,0.972822392,3.04E-07
PTPN7,0.89676112,0.615421334
SYT2,0.263761609,0.731481516
ARL8A,-0.374393661,0.000960955
OSR1,-0.079061706,0.816194465
GDF7,-1.871188764,4.29E-11
PDIA6,0.098839775,0.407320086
RHOB,-1.212605048,2.16E-15
ATP6V1C2,-0.502017426,0.389971764
HNRNPLL,0.288110961,0.005123699
GALM,1.116892675,5.52E-23
CAMKMT,0.39403605,0.077275501
EML4,0.217277501,0.069057625
CALM2,-0.048118446,0.612252988
CHAC2,-1.05469473,0.037382413
RPS27A,-0.08123841,0.356022255
WDPCP,0.184453584,0.336408563
VPS54,0.01969137,0.870689633
ASXL2,0.096820199,0.30748174
ETAA1,-0.201860997,0.06840371
SNRPG,-0.14566053,0.265693874
ABHD1,-0.617097872,0.478335761
MEIS1,0.212686673,0.040400147
TRIM43B,-0.302073555,0.930185155
TRIM43,-1.279729644,0.555355761
CIAO1,0.061222901,0.495636309
ZNF514,0.238546701,0.101550628
SNRNP200,0.184898041,0.02460772
MRPS5,-0.109959694,0.295026354
ANKRD53,-0.154622242,0.51380694
TPRKB,0.383534857,0.02708243
EXOC6B,0.323448312,0.000210382
SFXN5,0.366570329,0.017059654
TEX261,-0.114324031,0.188847477
DUSP11,-0.013668152,0.917191749
NPHP1,0.457149132,0.004292925
MALL,1.053346919,2.64E-05
THNSL2,-0.308067931,0.006317367
RALB,-0.2681417,0.002801099
TMEM177,0.763295409,0.004153904
RABL2A,0.120281413,0.288459251
SLC20A1,0.494730452,6.21E-05
FBLN7,-0.213637174,0.432923776
ZC3H8,0.555112186,0.010721641
LIPT1,0.025295984,0.931496624
CNGA3,0.163596248,0.755404259
FAHD2B,-0.045711757,0.779298536
LYG1,-0.014860482,0.979222265
AFF3,1.785446995,0.012887199
UBXN4,0.052389453,0.513884108
SPOPL,-0.505042756,4.14E-05
GPR17,-1.108093105,0.040821264
POLR2D,-0.068125486,0.662210676
AMMECR1L,-0.332326768,0.00121247
GALNT13,0.183327747,0.890134772
PKP4,0.061224005,0.552223269
SCN1A,-0.926567454,0.029417128
SCRN3,0.300435855,0.007628038
LNPK,-0.291773152,0.007687097
TMEFF2,0.955498657,0.020317253
CDCA7,0.278016227,0.494992725
DLX1,0.004186502,0.997037942
UBR3,-0.272972695,0.003758309
PHOSPHO2,-1.3705612,1.42E-05
GULP1,0.195402612,0.159238317
FAM171B,1.348015163,1.98E-31
HSPD1,0.067301797,0.455105081
CCDC150,-0.368277045,0.365494971
METTL21A,0.207005636,0.278136209
UNC80,0.830950814,0.641748638
CPO,0.475785685,0.548131549
NBEAL1,-0.139783866,0.345094864
KANSL1L,-0.160636239,0.211744516
SPAG16,0.118195649,0.449803947
ABCA12,1.623309567,0.070065797
SUMF1,0.025369829,0.77171466
LOC100130207,0.025369829,0.77171466
RHBDD1,0.070788569,0.470562886
ACKR3,0.218085227,0.136150406
TRPM8,1.450181782,0.45032483
HES6,-0.660527259,0.089143971
ESPNL,0.859770767,0.013343827
ANKMY1,0.109174918,0.531355579
COPS7B,0.224410183,0.043803524
DIS3L2,-0.12044776,0.400423184
CPNE9,2.777298904,0.133080649
FANCD2,0.01612611,0.960554591
TAMM41,0.079450387,0.676287761
VGLL4,0.057444543,0.679345429
RAB5A,-0.135142742,0.163935534
RETREG2,0.082635296,0.346473399
CTDSP1,-0.036163804,0.661033771
CNOT9,0.000553529,0.995954649
4-Mar,-0.801032535,0.000150968
STK11IP,-0.085495483,0.533290276
GMPPA,0.089000149,0.538452573
GRIP2,2.688182064,0.037001248
EAF1,-0.055998686,0.718638353
DYNC1LI1,-0.0233901,0.850301581
RBMS3,-0.270155877,0.004941511
GADL1,1.838553021,0.00790939
OSBPL10,0.385879982,0.053303469
POMGNT2,-0.07557421,0.517102346
ACKR2,-1.783342415,0.000750509
GASK1A,-0.991971452,9.66E-06
CSRNP1,-0.234649241,0.274179724
SLC25A38,-0.215216157,0.085665249
ITGA9,1.002647235,0.049901888
GOLGA4,0.128852921,0.141432604
CTDSPL,-0.159853307,0.260010065
STAC,-0.12590771,0.432928741
IQSEC1,0.127769084,0.301901962
CAND2,0.135382373,0.345155977
RPL32,0.102050903,0.286811288
PTPRG,-0.931735218,1.09E-18
IL17RD,0.762178765,3.01E-11
SHQ1,0.323819254,0.007867288
SLC25A26,-0.133102675,0.322778443
UBA3,-0.322790702,0.00106047
ARL6IP5,-0.499257887,1.01E-08
TMF1,-0.316043503,0.000426763
LRIG1,-0.05327164,0.594426695
LIMD1,-0.104117168,0.352335645
ZNF660,0.084784038,0.783622197
NFKBIZ,-0.55757751,0.000241932
COL8A1,-1.030694698,6.02E-12
NXPE3,0.204059228,0.116483236
MYH15,0.702721856,0.376176238
PHLDB2,0.37694442,6.27E-06
ABHD10,0.624485937,1.74E-06
PLA1A,0.680014778,0.069265074
RABL3,-0.064358909,0.630255621
ADPRH,-0.343076072,0.100551656
ATG3,0.041552278,0.687672374
BOC,-0.750457435,3.52E-13
SRPRB,-0.049044799,0.687225593
AGTR1,-1.187411424,0.043840247
MED12L,0.245403781,0.535672433
EIF2A,0.19220599,0.030422547
ALDH1L1,-4.151919843,0.006098408
OSBPL11,-0.014480014,0.921675297
TRPC1,-0.088433203,0.526470257
NCEH1,-0.463594476,0.000911973
FAM86B2,0.288721555,0.245239338
LPP,-0.481978393,0.001652811
TMEM44,0.439914699,0.001794802
RUBCN,-0.416110692,0.001279362
AMT,0.063965694,0.676446637
TCTA,-0.377467884,0.000807741
NICN1,0.084328758,0.548784086
UCN2,-0.915707178,0.111018325
DCAF1,-0.354751341,0.001559813
MANF,-0.323552049,0.049878032
EAF2,1.98235727,0.07194873
MUC4,0.530608637,0.604060699
SLIT2,-0.302113527,0.003365255
EIF2B5,-0.149921277,0.168036445
ECE2,-0.937016946,0.025211297
DGKQ,-0.276010315,0.020441959
FIP1L1,0.168265966,0.104707614
SLC26A1,0.284803826,0.261732175
LYAR,-0.168133943,0.313384432
CENPC,0.228421081,0.075405691
EPHA5,1.443144533,0.000517039
CORIN,-1.927411451,1.43E-22
ATP10D,-0.058854215,0.546416627
OCIAD2,0.329318963,0.06506604
SLC10A6,0.573271718,0.458801742
SCD5,-0.078436056,0.497944103
PLAC8,-1.037867926,0.5127279
ENOPH1,0.081904503,0.544983303
TRMT10A,0.315864855,0.189385771
KLHL8,-0.266880618,0.050348619
SNCA,-0.051248491,0.865840981
TBCK,-0.081147931,0.347120482
CAMK2D,-0.289690268,0.006939584
CISD2,-0.238302583,0.090149756
DDIT4L,0.786765866,0.015477579
ANK2,1.016805681,6.05E-13
TIFA,0.378042802,0.058037464
SPATA5,-0.36151135,0.088873331
FABP2,-2.518401358,0.107638948
CCNA2,-0.944296801,8.19E-07
METTL14,0.02664366,0.815612622
USP53,-2.147528013,4.01E-40
SETD7,-0.106205182,0.247697754
NAF1,0.082292334,0.623461713
1-Mar,0.224661893,0.440016503
SFRP2,1.464788351,1.03E-05
RPS3A,0.032053817,0.667254405
RNF175,0.441457534,0.376188634
PDGFC,0.740804383,4.27E-12
CBR4,-0.167796031,0.216634
CYP4V2,0.003751312,0.974838554
ROPN1L,1.791936435,0.111716695
NDUFS6,0.028601773,0.811682417
6-Mar,0.053734126,0.519061414
NKD2,-1.442275283,1.37E-12
CDH18,1.145409069,0.210074487
ADAMTS16,2.505677522,0.106817983
SRD5A1,-0.126755971,0.352584954
MYO10,-0.131505308,0.321535739
OTULINL,-2.230276334,4.12E-05
RPL37,0.040181167,0.678797764
SKP2,-0.935102171,9.67E-13
OSMR,-0.461971472,2.08E-06
PLK2,1.021112357,2.17E-18
PIK3R1,-1.544636576,1.45E-22
HAPLN1,-0.671652464,8.65E-07
LHFPL2,1.239910663,3.92E-51
SSBP2,0.708959382,1.75E-06
BHMT,0.121550772,0.846193046
ANKRD31,0.971182418,0.222925393
IQGAP2,0.59519416,0.019000882
RASA1,0.128390722,0.152232468
GIN1,0.180591022,0.439935476
PPIP5K2,0.119410474,0.212709153
PAM,-0.012501141,0.886938336
BDP1,-0.206011287,0.027132639
GTF2H2,-0.115234699,0.296352002
GTF2H2C,-0.115234699,0.296352002
SLC30A5,-0.129112494,0.181626708
BTF3,-0.038574156,0.65332051
FBXL17,-0.141202252,0.214870359
SPATA9,-1.037241012,0.012092527
TSLP,2.782807676,3.81E-33
TNFAIP8,-0.390839859,0.001369998
FEM1C,0.129495875,0.21661861
COMMD10,-0.052950851,0.741406198
ATG12,-0.115376305,0.291270151
MEGF10,0.055607017,0.968879564
ADAMTS19,2.414036273,0.036241664
YIPF5,0.270317695,0.012099581
ARHGAP26,-0.017934997,0.904692421
CXCL14,0.697114708,0.544428755
DDX46,-0.155202252,0.126843731
RNF145,-0.304249851,0.014787522
C1QTNF2,0.976874897,4.29E-05
FBXO38,0.02703579,0.805077142
PCYOX1L,-0.006064685,0.972120544
TNIP1,-0.56542745,1.09E-08
G3BP1,-0.297575432,0.00057981
ZNF300,0.443120495,0.011446735
N4BP3,1.374421702,3.35E-07
NHP2,0.079381845,0.605076351
RMND5B,0.240423231,0.041854235
BOD1,0.084758934,0.510673433
TENM2,-1.585196615,0.017982182
KCNMB1,-0.546626451,0.690749948
FAM50B,-0.304035944,0.092634713
MYLK4,-0.475484125,0.074881764
FAM217A,0.487975138,0.765956194
TBC1D7,-0.03753274,0.837813867
TBC1D7-LOC100130357,-0.03753274,0.837813867
FARS2,-0.090516038,0.589787032
GFOD1,-0.802566918,0.001250344
CDKAL1,0.260330554,0.091113345
PCDHB18P,0.516175162,0.35863267
PSD2,-0.551276085,0.627808731
LRRTM2,4.209692349,1.28E-15
ZMAT2,0.007261416,0.934029693
KLHL3,0.357261412,0.119065232
DCDC2,0.660518179,0.476694841
TRIM7,-0.863502228,0.060159542
TRIM41,-0.283227564,0.012499816
HIGD2A,-0.056259038,0.638700022
FAM193B,0.188472586,0.116797276
TNFRSF21,0.138272622,0.232617545
RNF44,-0.082030159,0.564602396
MMUT,-0.225811697,0.019291708
DOK3,-0.649726218,0.056012433
ABT1,-0.076784406,0.594828459
PPP1R18,0.103476578,0.265784231
LOC107987457,0.103476578,0.265784231
DAAM2,-1.681468676,1.11E-38
PRIM2,0.42395442,0.000593778
HMGCLL1,0.265798322,0.855782322
SCUBE3,-0.158012228,0.41172084
ANO7,0.191243,0.701267362
TCTE1,0.364287823,0.589805113
RPL7L1,-0.085346931,0.300265758
NFKBIE,0.122088382,0.548300461
CYP39A1,-0.713708276,0.00143975
TPBG,0.443436336,1.70E-05
IRAK1BP1,0.130766895,0.456187138
PHIP,0.459255152,5.93E-08
PRSS35,2.756183809,3.53E-71
MMS22L,0.252782337,0.124289865
FAXC,0.82699664,0.411592907
PNRC1,-0.450840024,0.000399943
PM20D2,-0.583852565,4.64E-07
RARS2,-0.100522943,0.276139762
TBC1D32,0.165498537,0.34841365
CLVS2,1.822088781,0.300720897
RNF217,-1.081847616,1.11E-17
RSPO3,-0.204047397,0.348450011
ARHGAP18,-0.246264399,0.04625702
ABRACL,-0.582933147,0.000548737
SLC18B1,0.729648757,4.63E-05
MTFR2,-0.47045809,0.315169968
SLC2A12,0.918616699,7.29E-19
SHPRH,0.399744795,0.004416533
AIG1,0.40405064,0.00052838
DYNLT1,0.107375122,0.285212269
TIAM2,0.292120573,0.111791908
TMEM181,-0.286621692,0.001582323
WTAP,-0.055000841,0.613752405
ZMYM4,0.07043869,0.443574274
ARMT1,-0.20894359,0.060641305
SLC22A3,-1.312586164,0.128536351
GNA12,-0.379309434,0.000117259
C7orf50,0.163833222,0.264390687
SDK1,0.353600519,0.001108559
WASH2P,0.144970489,0.195957316
CCZ1B,-0.191876719,0.092897301
C7orf26,0.03512262,0.783776737
RBAK,-0.165755545,0.16383725
CREB5,2.046628965,1.13E-28
EGFR,0.205709431,0.009395837
CDCA5,0.222123912,0.485918917
IGFBP3,-0.052511573,0.878377521
PURB,-0.105214741,0.272317613
SSC4D,0.355584358,0.623537463
MDH2,-0.18117521,0.046724253
POMZP3,0.0931899,0.613752586
LOC541473,-0.342390106,0.665520524
NIPSNAP2,-0.029804908,0.803736588
CCT6A,-0.166980172,0.045153507
PSPH,0.038279232,0.800280587
TRIM50,0.192499267,0.875333723
ZNF92,0.250167916,0.230472727
ATXN7L1,0.383398476,0.016395283
TMEM168,-0.10147782,0.330789275
MAP11,-0.269319354,0.117871845
SLC12A9,-0.326161331,0.002554335
GIGYF1,-0.245428004,0.008420822
TRIM4,-0.049047971,0.613316111
MEPCE,0.011361106,0.908071421
TMEM209,0.116656318,0.408623513
AGBL3,0.23758606,0.443637591
ZC3HAV1L,-0.377772892,0.09619366
TMEM140,-0.056248528,0.676868131
TLK2,-0.135324024,0.182586506
EPHA1,-0.180530069,0.701542451
NOM1,-0.11498411,0.369029321
NCAPG2,0.041413365,0.767007217
NLGN4X,0.125833802,0.626084871
SHROOM2,-1.014801021,0.00620332
LUC7L2,-0.012166057,0.917359494
DENND2A,-0.417646881,3.19E-05
CLTRN,0.217400789,0.767899158
SH3KBP1,0.046677939,0.650956494
TMEM47,-1.164782287,4.34E-40
LANCL3,0.0560374,0.953055676
SYTL5,2.026776855,0.005369736
CASK,0.322747771,0.001701704
KDM6A,0.203046557,0.085366213
SPIN2A,0.057029284,0.799421799
MSN,-0.061285695,0.433337736
CCNB3,0.545524209,0.526441944
HDAC8,-0.039046515,0.768755296
SLC16A2,0.471611193,4.31E-07
ZNF157,1.629656235,0.193261014
ZNF182,0.099356139,0.569169018
CHST7,-1.5324623,7.42E-18
KRBOX4,0.085096331,0.550369677
NDUFB11,0.099272898,0.395415515
ZNF41,0.198363073,0.173607593
RAB41,-0.081932235,0.910984441
ZMYM3,0.588613244,2.09E-08
TAF1,0.060408573,0.486002244
NONO,0.405369322,2.51E-07
CCDC120,0.255897357,0.18879094
LPAR4,-0.314000247,0.280752527
EBP,0.182343776,0.346928309
OGT,-0.131389785,0.13004467
SNX12,-0.03408501,0.692681445
ITGB1BP2,1.744592026,0.157505676
GCNA,-0.189000308,0.589611969
ZNF711,0.61322426,0.221670534
DIAPH2,-0.670301657,5.60E-08
PRPS1,0.406109086,0.00458907
RADX,0.423621202,0.189849917
FRMPD3,1.17979429,0.004463911
DOCK11,-0.379113041,0.000222198
GPC3,-0.197382287,0.151682626
RBMX,0.483458599,4.92E-07
MCPH1,0.199708937,0.201613331
MFHAS1,-0.451924225,0.000295586
FBXO25,0.126560018,0.36222726
NSDHL,-0.121140863,0.370906783
ZNF185,-0.131447602,0.489909115
CETN2,0.238906641,0.016479288
RPL10,-0.050715948,0.520269726
CSGALNACT1,-0.431102621,0.008190555
ATP6V1B2,-0.17331252,0.096686818
CCDC25,0.00753104,0.940955628
HMBOX1,0.252851996,0.080591196
GNRH1,-0.703818757,0.004710612
BIN3,-0.182985761,0.15223308
SLC25A37,0.350265696,0.009567354
CHMP7,-0.124602402,0.220045384
DOCK5,-0.764933803,1.14E-10
STAR,0.698177721,0.407786182
PLPBP,-0.232906246,0.038224803
ERLIN2,0.408217526,1.41E-06
PXDNL,-1.250302229,0.35898948
RGS20,0.45237824,0.077926068
TACC1,-0.877285401,4.53E-18
GOLGA7,0.155439944,0.153758043
PLPP5,0.283724775,0.019793595
GINS4,0.62736703,0.034134176
NSD3,0.097853353,0.326836643
TRIM55,1.676367826,0.145439384
ADHFE1,-1.44423937,4.10E-18
MRPS28,-0.520925952,0.03493472
LACTB2,-0.613019948,5.39E-05
TERF1,0.244265392,0.026111077
RPL7,0.046755265,0.539344908
SLC26A7,-0.429893939,0.501567563
SYBU,0.216060387,0.200697797
DPYS,0.836710212,0.351559952
MTDH,-0.528045575,9.83E-10
LRP12,0.077677382,0.529284731
EBAG9,0.196533989,0.237183434
RSPO2,1.340069132,2.77E-09
POLR2K,-0.084657823,0.451314623
EIF3H,0.040402834,0.64971001
UTP23,-0.324775327,0.012557404
NDUFB9,-0.072833918,0.538046026
TATDN1,0.013901812,0.918802296
GSDMC,-0.958771674,0.659657489
ZNF7,0.145856686,0.296871206
ARHGAP39,0.327862034,0.127542241
SLC39A4,-0.299863181,0.133732258
